,,,,,,,,,,
Date Time,Type,uSv/h,CPM,,,,,,,
2026-03-28 11:01:00,Every Second,0.292,45,,11,1,,39660,4980,14884.199999999953
2026-03-28 11:02:00,Every Second,0.292,45,,11,2,,39720,5040,13435.800000000047
2026-03-28 11:03:00,Every Second,0.254,39,,11,3,,39780,5100,12117
2026-03-28 11:04:00,Every Second,0.156,24,,11,4,,39840,5160,10927.800000000047
2026-03-28 11:05:00,Every Second,0.143,22,,11,5,,39900,5220,9868.199999999953
2026-03-28 11:06:00,Every Second,0.084,13,,11,6,,39960,5280,8938.199999999953
2026-03-28 11:07:00,Every Second,0.097,15,,11,7,,40020,5340,
2026-03-28 11:08:00,Every Second,0.078,12,,11,8,,40080,5400,
2026-03-28 11:09:00,Every Second,0.111,17,,11,9,,40140,5460,
2026-03-28 11:10:00,Every Second,0.117,18,,11,10,,40200,5520,
2026-03-28 11:11:00,Every Second,0.156,24,,11,11,,40260,5580,
2026-03-28 11:12:00,Every Second,0.195,30,,11,12,,40320,5640,
2026-03-28 11:13:00,Every Second,0.123,19,,11,13,,40380,5700,
2026-03-28 11:14:00,Every Second,0.072,11,,11,14,,40440,5760,
2026-03-28 11:15:00,Every Second,0.117,18,,11,15,,40500,5820,
2026-03-28 11:16:00,Every Second,0.137,21,,11,16,,40560,5880,
2026-03-28 11:17:00,Every Second,0.137,21,,11,17,,40620,5940,
2026-03-28 11:18:00,Every Second,0.123,19,,11,18,,40680,6000,
